Website;Privacy_Link;Privacy_Status;ToS_Link;ToS_Status;Privacy_Selector;Privacy_Remove;ToS_Selector;ToS_Remove
blogspot.de;https://blogspot.de/intl/de/policies/privacy/;200;https://blogspot.de/intl/de/policies/terms/;200;body;script;body;script
wetteronline.de;https://en.betweenx.com/pdata.pdf;200;https://wetteronline.de/agb;200;::PDF::;;#content;
nic.de;https://nic.de/fileadmin/Downloads/Security/140566_DENIC_eG_27001_de.pdf;200;Nicht gefunden;n/a;::PDF::;;;
wdr.de;https://wdr.de/hilfe/datenschutz102.html;410;Nicht gefunden;n/a;;;;
rwth-aachen.de;https://rwth-aachen.de/cms/root/Footer/Services/~cesv/Datenschutzerklaerung/;200;Nicht gefunden;n/a;main;;;
dhl.de;https://dhl.de/dam/jcr:68d3d6a0-b49a-4afd-9cd2-ccbc704f4b5b/dhlgroup-kurzfassung-konzerndatenschutzrichtlinie_01072023.pdf;200;https://dhl.de/de/toolbar/footer/agb.html;200;::PDF::;;main;
rtl.de;https://rtl.de/datenschutz/;200;https://rtl.de/nutzungsbedingungen/;200;.article-body;script, style;.article-body;svg
fr.de;https://www.fr.de/ueber-uns/datenschutz/;200;https://www.fr.de/ueber-uns/agb/;200;article;meta;article;meta
gmx.de;https://www.gmx.net/datenschutz/#.pc_page.homepage.index.footer_4.datenschutz;200;https://agb-server.gmx.net/gmxagb-de;200;body;script, nav.fullwidth, footer#footer, header#header;body;script, footer#footer, header#header
thomann.de;Nicht gefunden;n/a;https://thomann.de/compinfo_terms.html;404;;;;
autoscout24.de;https://www.autoscout24.de/unternehmen/datenschutz/;200;https://assets.ctfassets.net/uaddx06iwzdz/CPKVghdcm84Okz1Um1Hee/f21f5dd54734641506beff9ffb17c1d6/202501_Verbraucher_AGB_DE_clean.de__1_.pdf;200;main;;::PDF::;
eventim.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
freenet.de;https://iabeurope.eu/wp-content/uploads/2021/09/TransparencyConsentFramework-_Policies_version_TCF-v2.0-2021-06-22.3.4.docx.pdf;200;https://www.freenet.de/binaries/content/assets/freenet/kooperationspartner.pdf;200;::PDF::;;::PDF::;
bayern.de;https://bayern.de/wp-content/uploads/2020/09/InstallationsanleitungPGP10.0.2.pdf;200;Nicht gefunden;n/a;::PDF::;;;
elster.de;https://www.finanzamt.bayern.de/Informationen/download.php?url=Informationen/Datenschutz/21_05_14_Allgemeines-Informationsschreiben-Steuerverwaltung.pdf;200;Nicht gefunden;n/a;::PDF::;;;
sonnenbatterie.de;https://sonnenbatterie.de/datenschutz;404;https://www.gstatic.com/policies/terms/pdf/20240522/ks8shls0/google_terms_of_service_de_de.pdf;200;;;::PDF::;
vodafone.de;https://www.vodafone.de/media/downloads/pdf/GA_00951_C_00_VertraglicheDatenschutzhinweise.pdf;200;https://www.vodafone.de/media/downloads/pdf/900271_KA_21677_screen.pdf;200;::PDF::;;::PDF::;
lidl.de;Nicht gefunden;n/a;https://lidl.de/static/assets/AGB-Stand-Dezember-2025-1926121.pdf;200;;;::PDF::;
giga.de;https://giga.de/www.giga.de/#;404;Nicht gefunden;n/a;;;;
chefkoch.de;https://chefkoch.de/datenschutz;200;https://chefkoch.de/agb;200;main;li#cookie-basierte-funktionalitaten, summary#accordion-button-cookie-basierte-funktionalitaten, div#accordion-content-cookie-basierte-funktionalitaten, div#b-eingebundene-plug-ins-widgets-dritter-social-media, li#einbindung-von-social-media-inhalten, summary#accordion-button-einbindung-von-social-media-inhalten, div#accordion-content-einbindung-von-social-media-inhalten;main;
immowelt.de;https://www.immowelt.de/immoweltag/datenschutz;200;https://www.immowelt.de/immoweltag/agb;200;;;;
thalia.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
abendblatt.de;https://abendblatt.de/service/datenschutzerklaerung/;200;Nicht gefunden;n/a;.article-body;script, style, aside.w-full;;
fu-berlin.de;https://fu-berlin.de/redaktion/impressum/datenschutzhinweise/index.html;200;Nicht gefunden;n/a;main;noscript;;
uni-heidelberg.de;https://uni-heidelberg.de/de/datenschutzerklaerung;200;Nicht gefunden;n/a;main;nav, svg.Home_2R9ct, svg.Icon_hCTck, svg.Arrow_ompmD, svg.Contact_n8dEp, svg.Arrow_POmbg;;
hessen.de;https://hessen.de/datenschutz;200;Nicht gefunden;n/a;#main-content;nav.nav-breadcrumb, header.page__header, svg#icon_time, svg, svg#icon_link_extern, aside, desc#social-sharing-button-fb, desc#social-sharing-button-twitter, desc#social-sharing-button-linkedin, desc#social-sharing-button-xing, desc#social-sharing-button-email, desc#social-sharing-button-print_link, div.social-sharing-buttons, a.social-sharing-buttons__button;;
sport1.de;Nicht gefunden;n/a;https://www.sport1.de/news/unternehmen/nutzungsbedingungen;200;;;#s1-main-content;
derwesten.de;https://www.funkemedien.de/files/allgemeine-downloads/rechtliches/Gewinnspiele-Information-an-den-Betroffenen-Stand-Juni-2022.pdf;200;Nicht gefunden;n/a;::PDF::;;;
adac.de;https://assets.adac.de/image/upload/v1709293938/ADAC-eV/KOR/Text/PDF/Datenschutz_ADAC_Berlin_Brandenburg_cbzlw8.pdf;200;Nicht gefunden;n/a;::PDF::;;;
nameserverservice.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
dfn.de;https://www.dfn.de/wp-content/uploads/2025/11/Infobrief_Recht_12-2025.pdf;200;Nicht gefunden;n/a;::PDF::;;;
tripadvisor.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
berlin.de;https://www.berlin.de/rbmskzl/_assets/datenschutzhinweise_202304.pdf;200;Nicht gefunden;n/a;::PDF::;;;
taz.de;http://download.taz.de/taz-Satzung-tazPanterStiftung.pdf;200;https://taz.de/Abonnementvertraege-der-taz/!vn5957307/;200;::PDF::;;main;script, header.is-flex, noscript, meta, aside#modal-of0z68elc, button.mgl-auto, span.icon, div.modal-background, div.modal-card, section.modal-card-body, p.typo-teaser-text-bold, div.column
hna.de;https://www.hna.de/ueber-uns/datenschutz/;200;https://www.hna.de/ueber-uns/agb/;200;article;meta;article;meta
tvspielfilm.de;https://www.tvspielfilm.de/datenschutz/;200;https://www.tvspielfilm.de/services/nutzungsbedingungen/;200;body;;.article-body;script
uni-hamburg.de;https://uni-hamburg.de/datenschutz.html;200;Nicht gefunden;n/a;main;;;
sportschau.de;https://sportschau.de/service/app/informationen-zum-datenschutz,datenschutz-app-100.html;200;Nicht gefunden;n/a;article.container;nav.socialbuttons, svg.icon, h2#Einsatz-von-Cookies, ul.socialbuttons__list, li.socialbuttons__list__item, span.socialbuttons__icon, span.socialbuttons__subline, span.socialbuttons__icon--functional;;
volkswagen.de;Nicht gefunden;n/a;https://volkswagen.de/de/mehr/rechtliches/nutzungsbedingungen.html;Fehler;;;main;nav.sc-lgjHQU, meta
gala.de;https://gala.de/javascript:window.gujService.consent.openModal();404;https://www.gala.de/service/allgemeine-geschaeftsbedingungen-20103684.html;200;;;main;script, header.article__header, aside.sidebar, div.article__sidebar, div.sidebar__static, x-clone.sidebar__teaser, div.sidebar__sticky, div.js-sidebar__sticky-ads
schwaebische.de;https://www.schwaebische.de/datenschutz;200;https://d3bprg0wt4ienz.cloudfront.net/2025/06/11/0f91dbce-6e6e-4b53-b7ee-f8baa0fa7177.pdf;Fehler;main;svg.tw-fill-primary-40;::PDF::;
