Website;Privacy_Link;Privacy_Status;ToS_Link;ToS_Status;Privacy_Selector;Privacy_Remove;ToS_Selector;ToS_Remove
zalando.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
sueddeutsche.de;https://www.sueddeutsche.de/sz/9.31/sz.pdf;200;https://www.sueddeutsche.de/sz_abo/2.1/sz_abo.pdf;200;::PDF::;;::PDF::;
telefonica.de;https://telefonica.de/datenschutz-portal;200;https://telefonica.de/file/public/465/Telefonica-Germany-Einkaufs-AGB-01-2018.pdf?attachment=1;200;div#c04_0;div#c04_0 > script, div#c04_0 > style;::PDF::;
tagesschau.de;https://tagesschau.de/datenschutz;200;Nicht gefunden;n/a;article.content-wrapper__group;div.meldungsfooter > nav, svg.icon, h2.meldung__subhead, div.meldungsfooter > nav > ul, div.meldungsfooter > nav > ul > li, a.tabfocus > span, button.tabfocus > span;;
second-ns.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
tagesspiegel.de;https://tagesspiegel.de/verlag-der-tagesspiegel-datenschutzerklarung-383383.html;200;Nicht gefunden;n/a;div#story-elements;;;
bahn.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
hosteurope.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
xplosion.de;https://www.emetriq.com/datenschutz/;200;https://www.emetriq.com/agb/;200;div.togglecontainer;;div.avia_textblock;
br.de;https://br.de/unternehmen/service/datenschutz/datenschutz-br-102.html;200;Nicht gefunden;n/a;body;div.invisible > script, script#responsive_master_navi_container, body > script, div.skiplink > nav, div.meta_navi_wrapper > nav, div.top_container > nav, body > div > nav, div#footer > nav, body > footer, header#header, div.section > header, div.invisible > noscript, div#context_wrapper > aside, a.link_br, a.link_internal, li.first, div.box, div.teaser, a.link_article, ul.c_toolbar_list > li, li.c_tb_facebook, li.c_tb_twitter, div.on_facebook, div.on_twitter, ul.level_1 > li;;
zdf.de;https://zdf.de/datenschutz;200;https://zdf.de/nutzungsbedingungen;200;section.m1pamk63;svg.external;section.t1ld17ue;
adscale.de;https://adscale.de/werben-mit-stroeer/onlinewerbung/crossmedia/stroeer-ssp/stroeer-ssp-datenschutz/;404;https://www.stroeer.de/media/02_downloads/footermenue/agb_aussenwerbung/agb_kampagne_stand_oktober_2025.pdf;200;;;::PDF::;
stern.de;https://stern.de/javascript:document.querySelector('ws-sourcepoint')?.openModal();404;https://www.stern.de/agb-4541846.html;200;;;div.article__body;nav.links
ardmediathek.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
chip.de;https://www.chip.de/intern/datenschutzerklaerung-chip_c7c1fa99-0613-448e-9dbd-6ebbeb5a0277.html;200;Nicht gefunden;n/a;div#isl-0-Header;div.Header-Wrapper > nav, header.Header, svg.RUC-Button-Icon, svg.Header-Logo, button.Autocomplete-Search-Button > svg, svg.Autocomplete-Search-Clear, div.Tags > a > svg, ul.Grid-Container > li > button > svg, ul.Grid-Container > li > ul > li > a > svg, ul.Grid-Container > li > ul > li > ul > li > a > svg, ul.Grid-Container > li > div > svg, div.Header-Wrapper > nav > div > ul > li > a > svg, ul.Grid-Container, ul.Grid-Container > li, ul.Grid-Container > li > ul, ul.Grid-Container > li > ul > li, ul.Grid-Container > li > ul > li > a, ul.Grid-Container > li > ul > li > ul, ul.Grid-Container > li > ul > li > ul > a, ul.Grid-Container > li > ul > li > ul > li, ul.Grid-Container > li > ul > li > ul > li > a, ul.Grid-Container > li > ul > li > ul > li > ul, ul.Grid-Container > li > ul > li > ul > li > ul > a, ul.Grid-Container > li > ul > li > ul > li > ul > li, ul.Grid-Container > li > ul > li > ul > li > ul > li > a, ul.Grid-Container > li > a, ul.Grid-Container > li > div, ul.Grid-Container > li > div > a, div.Header-Wrapper > nav > div, div.Header-Wrapper > nav > div > ul, div.Header-Wrapper > nav > div > ul > li;;
webgo.de;Nicht gefunden;n/a;https://webgo.de/agb;200;;;body;body > script, body > noscript > style, nav.z-header, nav.hidden, nav.md:hidden, nav.flex, nav.text-tertiary-label, footer.pt-4, header.header, body > noscript, li.flex > meta, svg.w-3, svg.w-full, svg.fill-current, svg.w-6, svg.w-4, svg.ml-2, svg.w-5, svg.overflow-visible, svg.transform
e-recht24.de;https://e-recht24.de/muster-datenschutzerklaerung.html;200;https://e-recht24.de/agb/;200;section.article-content;section.article-content > style;section.article-content;
goethe.de;https://www.goethe.de/resources/files/pdf307/datenschutzerklaerung_odp-v2.pdf;200;https://goethe.de/resources/files/pdf275/goethe-institut-muster-widerrufsformular.pdf;200;::PDF::;;::PDF::;
fraunhofer.de;https://fraunhofer.de/de/datenschutzerklaerung.html;200;https://fraunhofer.de/content/dam/zv/de/Fraunhofer-AGB.pdf;200;div.fhg-content;;::PDF::;
idealo.de;https://idealo.de/www.idealo.de/legal/datenschutz;Fehler;https://idealo.de/www.idealo.de/legal/agb;Fehler;;;;
arbeitsagentur.de;https://www.arbeitsagentur.de/datei/kundeninformation_sozialdatenschutz_ba041480.pdf;200;Nicht gefunden;n/a;::PDF::;;;
swr.de;https://swr.de/datenschutz/index.html;200;Nicht gefunden;n/a;div#accordion-2913;svg.icon-external-link, aside#panel-5448, aside#panel-684, aside#panel-2490, aside#panel-6635, aside#panel-8965, aside#panel-1970, aside#panel-6369, aside#panel-3003, aside#panel-1646, aside#panel-9892, aside#panel-9057, aside#panel-7950, aside#panel-5532, aside#panel-1862, aside#panel-3446, aside#panel-5270, aside#panel-1553;;
siemens.de;https://www.siemens.com/de/de/general/datenschutz.html;200;https://www.siemens.com/de/de/general/nutzungsbedingungen.html;200;div.fluidPage__wrapper;div.responsiveLayout > nav, header.header > div > nav, header.header, div.responsiveLayout > ul > div > button, div.responsiveLayout, div.responsiveLayout > a, div.responsiveLayout > nav > ul, div.responsiveLayout > nav > ul > li > a, div.header__iconsWrapper > div, header.header > div, div.responsiveLayout > ul > div;div.fluidPage__wrapper;div.responsiveLayout > nav, header.header > div > nav, header.header, div.responsiveLayout > ul > div > button, div.responsiveLayout, div.responsiveLayout > a, div.responsiveLayout > nav > ul, div.responsiveLayout > nav > ul > li > a, div.header__iconsWrapper > div, header.header > div, div.responsiveLayout > ul > div
gesetze-im-internet.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
tum.de;https://tum.de/spezialseiten/datenschutz;200;Nicht gefunden;n/a;div.page;div.flex > div > nav, div.flex > nav, header.page__header, div.ce-textmedia__content > header, a.page__header-logo > svg, div.sub-background > button > svg, div.sub-background > ul > li > a > span > svg, div.sub-background > ul > li > button > svg, ul.sub > li > a > span > svg, svg.nav-close, ul.sub > li > button > svg, button.btn > svg, li.theme--bright-yellow > a > span > svg, li.theme--yellow > a > span > svg, li.theme--blue-light > a > span > svg, li.theme--blue > a > span > svg, li.theme--orange > a > span > svg, li.theme--blue-dark > a > span > svg, li.theme--lilac > a > span > svg, li.theme--pink > a > span > svg, li.theme--green > a > span > svg, svg.sun, svg.moon, svg.nav-burger, div.flex > nav > ul > li > button > svg, div.flex > nav > ul > li > ul > li > button > svg, div.flex > nav > ul > li > ul > li > ul > li > button > svg, div.flex > nav > ul > li > ul > li > ul > li > ul > li > button > svg, svg.in2template-accordion__icon-open, svg.in2template-accordion__icon-close, div.flex > div > nav > ul, div.flex > div > nav > ul > li, div.flex > div > nav > ul > li > button, div.sub-background > button, div.sub-background > ul, div.sub-background > ul > li, div.sub-background > ul > li > a, div.sub-background > ul > li > button, ul.sub, ul.sub > li, ul.sub > li > a, ul.sub > li > button, div.flex > nav > ul, div.flex > nav > ul > li, div.flex > nav > ul > li > button, div.flex > nav > ul > li > ul, div.flex > nav > ul > li > ul > li > button, div.flex > nav > ul > li > ul > li, div.flex > nav > ul > li > ul > li > a, div.flex > nav > ul > li > ul > li > ul, div.flex > nav > ul > li > ul > li > ul > li > button, div.flex > nav > ul > li > ul > li > ul > li, div.flex > nav > ul > li > ul > li > ul > li > a, div.flex > nav > ul > li > ul > li > ul > li > ul, div.flex > nav > ul > li > ul > li > ul > li > ul > li > button, div.flex > nav > ul > li > ul > li > ul > li > ul > li, div.flex > nav > ul > li > ul > li > ul > li > ul > li > a;;
immobilienscout24.de;https://www.immobilienscout24.de/agb/datenschutz.html;200;https://www.immobilienscout24.de/agb.html;200;div.par;div.textimage > script, div.accordion > script, div.sourcecode > script, div.target > script;div#page;div#page > div > script, div.textimage > script, div#page > div > style, symbol#is24_logo_inverted > defs > style, symbol#is24_logo_topnav > defs > style, div.height-full > svg > symbol > defs > style, div.content-wrapper--negate-padding > style, style#footer-styles, style#footer__style-element, symbol#is24_logo_footer > defs > style, a.margin-right-s > svg > style, div.height-full > nav, footer.page-footer, header.page-header, a.grid > noscript, li.breadcrumb__item > meta, div.only-desk-and-up-content-wrapper > svg, svg.desk-height-28, span.icon > svg, div.hidden > svg, div.height-full > svg, div.height-full > nav > svg, p.accordion > svg, div.margin-top-xl > svg, svg#livetype, a.margin-right-s > svg, div.grid-item > a > svg, a.grid-flex > svg, div.page-header__hamburger-button, div.height-full, div.height-full > svg > symbol, div.grid-item, div.link-container, div.desk-hide, div.grid, div.padding-horizontal-l, ul.one-whole, div.only-desk-and-up-content-wrapper, div.grid-flex, a.button-secondary, a.button, span.grid-item, div.grid-item > span, div.grid-item > div, div.page-header__link, div.grid-item > div > div, div.page-header__login-link, div.grid-item > div > div > span, div.hidden, div.hidden > span, div.block, div.align-left, div.margin-bottom-l, div.content-layout
rp-online.de;https://www.pinpoll.com/pdf/de/datenschutzerkl%C3%A4rung.pdf;200;https://rp-online.de/#;200;::PDF::;;main#park-main;script#trm-ad-banderol-SaXiJbSUv9Dltge4cF6LzHZKBHr4ovkHIYlLo5uD, script#trm-widget-8e684111b2fc8d46098a7f6ecaef2f5a, aside.park-html > script, div.pt-6 > style, div.block > header, div.contents > header, header.overflow-hidden, header.top-current-header, header.self-center, div.text-white-solid > header, article.relative > div > header, div.text-black-solid > header, div.mt-6 > header, svg.block, svg.park-play-media__play-pause-svg, aside.portal-top, aside.mt-4, aside.portal, aside.park-html, div.inline-flex
blogspot.de;https://blogspot.de/intl/de/policies/privacy/;200;https://blogspot.de/intl/de/policies/terms/;200;body;;body;
wetteronline.de;https://en.betweenx.com/pdata.pdf;200;https://wetteronline.de/agb;200;::PDF::;;div#generalterms;
nic.de;https://nic.de/fileadmin/Downloads/Security/140566_DENIC_eG_27001_de.pdf;200;Nicht gefunden;n/a;::PDF::;;;
wdr.de;https://wdr.de/hilfe/datenschutz102.html;410;Nicht gefunden;n/a;;;;
rwth-aachen.de;https://rwth-aachen.de/cms/root/Footer/Services/~cesv/Datenschutzerklaerung/;200;Nicht gefunden;n/a;div.text;;;
dhl.de;https://dhl.de/dam/jcr:68d3d6a0-b49a-4afd-9cd2-ccbc704f4b5b/dhlgroup-kurzfassung-konzerndatenschutzrichtlinie_01072023.pdf;200;https://dhl.de/de/toolbar/footer/agb.html;200;::PDF::;;body;form#searchslot > script, div.scripts > script, body > script, header.header > nav, footer.footer > div > nav, nav.footer__row-legal, footer.footer, header.header, body > noscript, svg.icon, p.h4 > svg, header.header > nav > ul, header.header > nav > ul > li, header.header > nav > ul > li > a, header.header > nav > div, a.searchslot__link, a.searchslot__link > div, li.has-dropdown > a, div.d-lg-none, div.d-lg-none > div, div.d-lg-none > div > a > div, div.col-sm-6 > ul, div.col > ul
rtl.de;https://rtl.de/datenschutz/;200;https://rtl.de/nutzungsbedingungen/;200;div.article-body;div.Html_root__jy6pz > script, div.Html_root__jy6pz > style;div.article-body;div#affiliate-links > p > svg
fr.de;https://www.fr.de/ueber-uns/datenschutz/;200;https://www.fr.de/ueber-uns/agb/;200;article#id-js-Story;article#id-js-Story > meta;div.id-Container;article#id-js-Story > meta
gmx.de;https://www.gmx.net/datenschutz/#.pc_page.homepage.index.footer_4.datenschutz;200;https://agb-server.gmx.net/gmxagb-de;200;div.grid;nav.fullwidth, footer#footer, header#header;div.grid;footer#footer, header#header
thomann.de;Nicht gefunden;n/a;https://thomann.de/compinfo_terms.html;404;;;;
autoscout24.de;https://www.autoscout24.de/unternehmen/datenschutz/;200;https://assets.ctfassets.net/uaddx06iwzdz/CPKVghdcm84Okz1Um1Hee/f21f5dd54734641506beff9ffb17c1d6/202501_Verbraucher_AGB_DE_clean.de__1_.pdf;200;div.cms-hub-elements;;::PDF::;
eventim.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
freenet.de;https://iabeurope.eu/wp-content/uploads/2021/09/TransparencyConsentFramework-_Policies_version_TCF-v2.0-2021-06-22.3.4.docx.pdf;200;https://www.freenet.de/binaries/_ts_1763540052353/content/assets/freenet/agb-freenet-de.pdf;200;::PDF::;;::PDF::;
bayern.de;https://bayern.de/wp-content/uploads/2020/09/InstallationsanleitungPGP10.0.2.pdf;200;Nicht gefunden;n/a;::PDF::;;;
elster.de;https://www.finanzamt.bayern.de/Informationen/download.php?url=Informationen/Datenschutz/21_05_14_Allgemeines-Informationsschreiben-Steuerverwaltung.pdf;200;Nicht gefunden;n/a;::PDF::;;;
sonnenbatterie.de;https://sonnenbatterie.de/datenschutz;404;https://www.gstatic.com/policies/terms/pdf/20240522/ks8shls0/google_terms_of_service_de_de.pdf;200;;;::PDF::;
vodafone.de;https://www.vodafone.de/media/downloads/pdf/GA_00951_C_00_VertraglicheDatenschutzhinweise.pdf;200;https://www.vodafone.de/media/downloads/pdf/900271_KA_21677_screen.pdf;200;::PDF::;;::PDF::;
lidl.de;Nicht gefunden;n/a;https://lidl.de/static/assets/AGB-Stand-Dezember-2025-1926121.pdf;200;;;::PDF::;
giga.de;https://giga.de/www.giga.de/#;404;Nicht gefunden;n/a;;;;
chefkoch.de;https://chefkoch.de/datenschutz;200;https://chefkoch.de/agb;200;div.ds-grid;li.ds-accordion__item, summary.ds-accordion__btn, div.ds-accordion__content, div.ds-content-module;div.ds-col-12 > div;
immowelt.de;https://www.immowelt.de/immoweltag/datenschutz;200;https://www.immowelt.de/immoweltag/agb;200;;;;
thalia.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
abendblatt.de;https://abendblatt.de/service/datenschutzerklaerung/;200;Nicht gefunden;n/a;div.article-body;aside.w-full > script, div.article-body > style, aside.w-full;;
fu-berlin.de;https://fu-berlin.de/redaktion/impressum/datenschutzhinweise/index.html;200;Nicht gefunden;n/a;div#accordion-17214403;;;
uni-heidelberg.de;https://uni-heidelberg.de/de/datenschutzerklaerung;200;Nicht gefunden;n/a;div#mainContent;div.ColumnMobileHide_Az4Y5 > nav, svg.Home_2R9ct;;
hessen.de;https://hessen.de/datenschutz;200;Nicht gefunden;n/a;div.cp-richtext__field-richtext;svg#icon_link_extern, i.icon > svg;;
sport1.de;Nicht gefunden;n/a;https://www.sport1.de/news/unternehmen/nutzungsbedingungen;200;;;div.sc-bgqQcB;
derwesten.de;https://www.funkemedien.de/files/allgemeine-downloads/rechtliches/Gewinnspiele-Information-an-den-Betroffenen-Stand-Juni-2022.pdf;200;Nicht gefunden;n/a;::PDF::;;;
adac.de;https://assets.adac.de/image/upload/v1709293938/ADAC-eV/KOR/Text/PDF/Datenschutz_ADAC_Berlin_Brandenburg_cbzlw8.pdf;200;Nicht gefunden;n/a;::PDF::;;;
nameserverservice.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
dfn.de;https://www.dfn.de/wp-content/uploads/2025/11/Infobrief_Recht_12-2025.pdf;200;Nicht gefunden;n/a;::PDF::;;;
tripadvisor.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
berlin.de;https://www.berlin.de/rbmskzl/_assets/datenschutzhinweise_202304.pdf;200;Nicht gefunden;n/a;::PDF::;;;
taz.de;http://download.taz.de/taz-Satzung-tazPanterStiftung.pdf;200;https://taz.de/Abonnementvertraege-der-taz/!vn5957307/;200;::PDF::;;article.module;header.is-flex, figure# > picture > noscript, div.metadata > meta, aside.article, button.mgl-auto, span.icon, aside.article > div, div.small, section.pt-0, p.typo-teaser-text-bold, div.column
hna.de;https://www.hna.de/ueber-uns/datenschutz/;200;https://www.hna.de/ueber-uns/agb/;200;article#id-js-Story;div.id-Article-dateActionboxCombo-date > meta;div.id-Container;article#id-js-Story > meta
tvspielfilm.de;https://www.tvspielfilm.de/datenschutz/;200;https://www.tvspielfilm.de/services/nutzungsbedingungen/;200;body;;div.article-body;div.paragraph-body > div > script, div#sc-outstream > script
uni-hamburg.de;https://uni-hamburg.de/datenschutz.html;200;Nicht gefunden;n/a;div.standard;;;
sportschau.de;https://sportschau.de/service/app/informationen-zum-datenschutz,datenschutz-app-100.html;200;Nicht gefunden;n/a;div.global-wrapper;div.global-wrapper > script, svg.icon > style, nav#burgernav, nav.burger-navi-nav__sublevel, nav.horizontal-nav, div.meldungsfooter > nav, nav#footer, footer.footer, header.header, svg.icon, svg.icon-ard, div#content > aside, summary.burger-button-animated, h2.meldung__subhead, div.burger-navi > div, ul.burger-panel > li > a, li.burger-panel-divider > a, a.burger-panel__pagelink, ul#burgernav-0-6 > li > a, ul#burgernav-0-7 > li > a, ul#burgernav-0-9 > li > a, ul#burgernav-0-13 > li > a, ul#burgernav-0-15 > li > a, div.columns > div, div.meldungsfooter > nav > ul, div.meldungsfooter > nav > ul > li, a.tabfocus > span, button.tabfocus > span, div.columns > dl, details.accordion > ul, li.--service-item, div.columns > ul, div.columns > ul > li;;
volkswagen.de;Nicht gefunden;n/a;https://volkswagen.de/de/mehr/rechtliches/nutzungsbedingungen.html;Fehler;;;span.sc-eqUAAy;
gala.de;https://gala.de/javascript:window.gujService.consent.openModal();404;https://www.gala.de/service/allgemeine-geschaeftsbedingungen-20103684.html;200;;;div.article__body;div.widget-element > script
schwaebische.de;https://www.schwaebische.de/datenschutz;200;https://d3bprg0wt4ienz.cloudfront.net/2025/06/11/0f91dbce-6e6e-4b53-b7ee-f8baa0fa7177.pdf;Fehler;div.tw-col-span-full;svg.tw-fill-primary-40;::PDF::;
